t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
110,-0.3307163262142421,-0.3314827950009258,-0.2967860905019437,-0.286541586277933,-0.3307163262142421,-0.29767936487071767,-1.000000000000012,-0.034031235686238226
111,-0.3308733410885223,-0.33160915133304547,-0.29695688639324036,-0.28671654305065797,-0.3308733410885112,-0.2978144298943719,-1.000000000000012,-0.03401747192073312
112,-0.3310240753759852,-0.3317304533947074,-0.29712085046232906,-0.2868845015675081,-0.3310240753759852,-0.29794409231708174,-1.000000000000012,-0.03400425865617285
113,-0.3311687802990071,-0.33184690335859024,-0.29727825598029334,-0.2870457417566974,-0.3311687802990182,-0.29806856824288186,-1.000000000000012,-0.0339915738767238
114,-0.33130769703119123,-0.3319586953112297,-0.2974293652876159,-0.287200532349563,-0.3313076970311801,-0.29818806513164375,-1.000000000000012,-0.0339793964467594
115,-0.33144105709934646,-0.33206601557387305,-0.2975744302313177,-0.28734913132849593,-0.33144105709933536,-0.29830278214485473,-1.000000000000012,-0.03396770607585475
116,-0.33156908276928965,-0.33216904301609507,-0.2977136925848445,-0.28749178635668615,-0.33156908276928965,-0.29841291047754126,-1.000000000000012,-0.0339564832847139
117,-0.3316919874164048,-0.33226794935222737,-0.29784738445073344,-0.2876287351910922,-0.3316919874164048,-0.2985186336769252,-1.000000000000012,-0.033945709373173205
118,-0.33180997588105887,-0.3323628994274075,-0.2979757286477369,-0.2877602060785245,-0.33180997588105887,-0.2986201279483347,-1.000000000000012,-0.03393536638859329
119,-0.33192324481005064,-0.33245405149221474,-0.2980989390818145,-0.28788641813602966,-0.33192324481005064,-0.29871756244888026,-1.000000000000012,-0.03392543709631601
120,-0.3320319829845375,-0.332541557469368,-0.29821722110286997,-0.28800758171608765,-0.3320319829845375,-0.2988110995694071,-1.000000000000012,-0.033915904950931886
121,-0.3321363716342507,-0.3326255632015718,-0.2983307718468664,-0.2881238987572199,-0.3321363716342507,-0.298900895205112,-1.000000000000012,-0.0339067540685134
122,-0.33223658473998663,-0.332706208700162,-0.2984397805644412,-0.2882355631204425,-0.33223658473998663,-0.2989870990153909,-1.000000000000012,-0.033897969200447076
123,-0.33233278932318644,-0.3327836283749108,-0.29854442893620936,-0.28834276091240785,-0.33233278932318644,-0.29906985467326175,-1.000000000000012,-0.03388953570783171
124,-0.3324251457245686,-0.3328579512585139,-0.29864489137568784,-0.2884456707955563,-0.3324251457245575,-0.29914930010481733,-1.000000000000012,-0.0338814395371978
125,-0.3325138078712486,-0.33292930122418296,-0.2987413353198076,-0.2885444642859447,-0.3325138078712486,-0.299225567719108,-1.000000000000012,-0.03387366719714846
126,-0.33259892353322273,-0.33299779718812816,-0.29883392150822363,-0.2886393060389292,-0.33259892353322273,-0.29929878462882087,-1.000000000000012,-0.03386620573568866
127,-0.3326806345697375,-0.3330635533107418,-0.29892280425083406,-0.28873035412381176,-0.3326806345697264,-0.29936907286215453,-1.000000000000012,-0.033859042718897836
128,-0.33275907716567854,-0.3331266791863352,-0.2990081316852855,-0.2888177602870301,-0.33275907716566744,-0.2994365495661455,-1.000000000000012,-0.03385216621011322
129,-0.33283438205863325,-0.3331872800253599,-0.2990900460237311,-0.28890167020528823,-0.33283438205863325,-0.29950132720197864,-1.000000000000012,-0.033845564750101254
130,-0.3329066747565612,-0.3332454568285126,-0.2991686837898744,-0.2889822237281958,-0.3329066747565612,-0.29956351373238155,-1.000000000000012,-0.033839227337728595
131,-0.33297607574723775,-0.33330130655840895,-0.2992441760465092,-0.2890595551114483,-0.33297607574722665,-0.29962321280156967,-1.000000000000012,-0.033833143411965416
132,-0.3330427006988268,-0.333354922297191,-0.29931664861384544,-0.2891337932404481,-0.3330427006988157,-0.29968052390798583,-1.000000000000012,-0.03382730283415514
133,-0.3331066606528488,-0.33340639340517786,-0.29938622227936307,-0.28920506184532124,-0.3331066606528488,-0.29973554257014534,-1.000000000000012,-0.03382169587107242
134,-0.33316806220916595,-0.33345580566765953,-0.29945301299901805,-0.2892734797068419,-0.33316806220915485,-0.2997883604858198,-1.000000000000012,-0.033816313178847146
135,-0.33322700770367364,-0.33350324143879284,-0.2995171320906431,-0.2893391608547069,-0.33322700770366254,-0.2998390656848704,-1.000000000000012,-0.03381114578722144
136,-0.33328359537873053,-0.33354877977792574,-0.2995786864192107,-0.2894022147573838,-0.33328359537871943,-0.29988774267595275,-1.000000000000012,-0.03380618508472821
137,-0.33333791954708314,-0.33359249658265755,-0.29963777857517915,-0.28946274650457626,-0.33333791954707204,-0.29993447258739314,-1.000000000000012,-0.033801422804324854
138,-0.33339007074900673,-0.3336344647141942,-0.29969450704545597,-0.28952085698249475,-0.3333900707489956,-0.29997933330238036,-1.000000000000012,-0.033796851009582074
139,-0.33344013590309585,-0.3336747541199614,-0.2997489663773778,-0.2895766430418001,-0.33344013590309585,-0.30002239958876187,-1.000000000000012,-0.033792462081538854
140,-0.33348819845130384,-0.33371343194910086,-0.29980124733641755,-0.2896301976591964,-0.33348819845129274,-0.30006374322368856,-1.000000000000012,-0.033788248705968194
141,-0.33353433849775405,-0.333750562663937,-0.2998514370574856,-0.2896816100923183,-0.33353433849775405,-0.3001034331132191,-1.000000000000012,-0.03378420386106473
142,-0.33357863294254386,-0.33378620815004423,-0.29989961919005825,-0.289730966028523,-0.33357863294254386,-0.30014153540717237,-1.000000000000012,-0.03378032080594284
143,-0.3336211556097535,-0.33382042781614496,-0.2999458740376326,-0.28977834772759836,-0.33362115560974237,-0.30017811360936175,-1.000000000000012,-0.03377659306942338
144,-0.33366197737039194,-0.3338532786950177,-0.29999027869157535,-0.2898238341590531,-0.33366197737038084,-0.3002132286834658,-1.000000000000012,-0.03377301443895364
145,-0.3337011662607692,-0.3338848155384988,-0.3000329071596197,-0.289867501133545,-0.3337011662607581,-0.30024693915461365,-1.000000000000012,-0.033769578950615387
146,-0.3337387875956721,-0.33391509090781035,-0.30007383048920033,-0.289909421429313,-0.3337387875956721,-0.30027930120690716,-1.000000000000012,-0.03376628087892186
147,-0.3337749040772886,-0.333944155262178,-0.3001131168857918,-0.2899496649135025,-0.3337749040772886,-0.3003103687771125,-1.000000000000012,-0.033763114727469734
148,-0.33380957589973503,-0.33397205704147614,-0.30015083182672875,-0.2899882986585389,-0.33380957589973503,-0.3003401936445105,-1.000000000000012,-0.03376007521961322
149,-0.3338428608493649,-0.3339988427498719,-0.30018703817020764,-0.2900253870539715,-0.3338428608493538,-0.30036882551721655,-1.000000000000012,-0.03375715728980433
150,-0.3338748144011361,-0.33402455702948863,-0.3002217962600584,-0.29006099191377643,-0.333874814401125,-0.3003963121150144,-1.000000000000012,-0.03375435607519961
151,-0.33390548981089285,-0.33404924273729986,-0.3002551640265305,-0.29009517257935213,-0.33390548981088175,-0.3004226992488923,-1.000000000000012,-0.03375166690721132
152,-0.33393493820430553,-0.3340729410169718,-0.30028719708240503,-0.29012798601845136,-0.33393493820430553,-0.30044803089741556,-1.000000000000012,-0.03374908530421328
153,-0.3339632086620692,-0.3340956913650106,-0.3003179488161978,-0.2901594869201274,-0.3339632086620581,-0.300472349280001,-1.000000000000012,-0.03374660696369158
154,-0.3339903483015494,-0.33411753169878544,-0.30034747048074406,-0.29018972778587226,-0.3339903483015383,-0.300495694927283,-1.000000000000012,-0.03374422775529462
155,-0.3340164023554304,-0.3341384984185236,-0.3003758112788524,-0.2902187590171246,-0.3340164023554304,-0.30051810674867063,-1.000000000000012,-0.033741943713749833
156,-0.33404141424722145,-0.33415862646958283,-0.30040301844508344,-0.2902466289992134,-0.33404141424721034,-0.30053962209720675,-1.000000000000012,-0.033739751032668686
157,-0.3340654256632991,-0.3341779493979846,-0.3004291373247203,-0.2902733841821159,-0.334065425663288,-0.3005602768317961,-1.000000000000012,-0.03373764605758556
158,-0.3340884766227292,-0.3341964994088453,-0.30045421144927476,-0.2902990691578289,-0.3340884766227292,-0.30058010537700186,-1.000000000000012,-0.03373562528038443
159,-0.33411060554370264,-0.33421430741830127,-0.30047828260890697,-0.29032372673458706,-0.33411060554369154,-0.30059914078039984,-1.000000000000012,-0.033733685333148244
160,-0.3341318493077283,-0.3342314031064775,-0.3005013909221699,-0.2903473980083615,-0.3341318493077172,-0.3006174147676677,-1.000000000000012,-0.033731822982807635
161,-0.33415224332106197,-0.334247814966282,-0.30052357490293335,-0.2903701224312827,-0.33415224332105087,-0.3006349577954426,-1.000000000000012,-0.03373003512550099
162,-0.3341718215736367,-0.33426357034987975,-0.3005448715245218,-0.2903919378773989,-0.33417182157362557,-0.30065179910210293,-1.000000000000012,-0.033728318781467426
163,-0.3341906166957842,-0.33427869551621026,-0.3005653162812316,-0.2904128807057482,-0.3341906166957731,-0.300667966756496,-1.000000000000012,-0.033726671090195115
164,-0.334208660012536,-0.3342932156724876,-0.3005849432476726,-0.29043298582110966,-0.334208660012536,-0.30068348770472264,-1.000000000000012,-0.03372508930542528
165,-0.3342259815959814,-0.33430715501885366,-0.300603785135356,-0.2904522867319348,-0.3342259815959814,-0.3006983878150127,-1.000000000000012,-0.03372357079091115
166,-0.3342426103152052,-0.3343205367861479,-0.30062187334747303,-0.2904708156064806,-0.3342426103152052,-0.30071269192089023,-1.000000000000012,-0.03372211301562178
167,-0.33425857388441615,-0.33433338327524265,-0.30063923803093084,-0.2904886033262222,-0.33425857388440505,-0.30072642386254067,-1.000000000000012,-0.03372071354977857
168,-0.33427389890915427,-0.3343457158949348,-0.3006559081268345,-0.2905056795374339,-0.33427389890914316,-0.3007396065265233,-1.000000000000012,-0.033719370060592
169,-0.3342886109305332,-0.33435755519620747,-0.30067191141858185,-0.29052207270048314,-0.3342886109305332,-0.3007522618839409,-1.000000000000012,-0.03371808030850909
