t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
152,-0.0004692201996836509,-0.0003776715735925862,-0.0005103840111653213,-0.0005228125378398119,-0.0004692201996836509,-0.00040362036511920607,-1.1088210349896599e-07,4.1164021569173315e-05
153,-0.00045045373707752745,-0.0003625647118532527,-0.0004899718979767265,-0.00050190355590507,-0.00045045373707752745,-0.0003874768811029661,-9.979388426728519e-08,3.951835452209451e-05
154,-0.000432437698461019,-0.0003480621247886617,-0.00047037594462784327,-0.00048183058127815315,-0.000432437698461019,-0.00037197900338847845,-8.981451138367902e-08,3.79384246018688e-05
155,-0.0004151420903708569,-0.0003341396413558684,-0.00045156353711828245,-0.0004625602088803582,-0.0004151420903597547,-0.0003571009210334708,-8.083305136352692e-08,3.64216112158644e-05
156,-0.0003985381166082824,-0.00032077405718311525,-0.0004335033628954932,-0.0004440603662447806,-0.0003985381166082824,-0.0003428178541931004,-7.274973956583608e-08,3.496539784375585e-05
157,-0.0003825981308769322,-0.00030794309656689833,-0.00041616535892963213,-0.00042630026075851646,-0.0003825981308769322,-0.00032910601303060005,-6.547478115237482e-08,3.356736772985869e-05
158,-0.0003672955907307873,-0.0002956253743469084,-0.0003995206620754921,-0.00040925032858130095,-0.0003672955907196851,-0.00031594255821554285,-5.892729637579919e-08,3.2225200086166694e-05
159,-0.00035260501376477293,-0.00028380036137809483,-0.00038354156136621853,-0.0003928821858512066,-0.00035260501376477293,-0.0003033055630208281,-5.3034565627996244e-08,3.093666625098024e-05
160,-0.00033850193535966966,-0.0002724483496030494,-0.0003682014520833832,-0.00037716858176661816,-0.00033850193534856743,-0.00029117397691846847,-4.773111905720384e-08,2.969962606957921e-05
161,-0.0003249628679924399,-0.0002615504188230311,-0.0003534747918920722,-0.00036208335348897336,-0.00032496286798133767,-0.0002795275906186667,-4.295799271858414e-08,2.8512024674576253e-05
162,-0.0003119652625449554,-0.00025108840654430864,-0.0003393370583304467,-0.00034760138281075825,-0.00031196526253385315,-0.00026834700249667165,-3.866219566717177e-08,2.7371888666749555e-05
163,-0.00029948747071184556,-0.00024104487558185284,-0.0003257647083643178,-0.00033369855457765496,-0.00029948747070074333,-0.00025761358635190135,-3.4795966108447374e-08,2.627732325066745e-05
164,-0.00028750870908478277,-0.00023140308808011767,-0.0003127351392184785,-0.00032035171670941054,-0.00028750870907368054,-0.0002473094604549253,-3.131638282027893e-08,2.5226509015041643e-05
165,-0.0002760090247244662,-0.00022214697424915997,-0.0003002266509954943,-0.0003075386418749382,-0.00027600902471336397,-0.00023741745783789625,-2.8184732325797768e-08,2.4217698979533964e-05
